appid,name
2099610,Tales of Tarium: Awakening from the Ashes
2101340,Maze Of Realities: Reflection Of Light Collector's Edition
2101690,Space Voyage: The Puzzle Game
2102080,Spacetime Dimension
2105140,The Packages
2114860,Gumnaam
2115710,Necropolis of the Angels
2119700,Cyber Tetris
2122770,Kings and Catapults
2124790,Sir Questionnaire
2126500,WWII Tanks: Forgotten Battles
2127590,Lost In The Backrooms
2128400,Code:29
2128610,The Blood Amulet
2128970,Nightmare Hunter
2128990,Gold Of Lotusland
2132510,32 in 1 Game Special
2138910,Athereon: Advent I
2139100,Morbid
2140180,Fright Knight Legend
2144120,Strength & Virtue: Lord of Midchester
2145740,Dancing Pandas
2147310,PermaNight
2155460,Orbital Clash
2163600,Tomb of the Dead
2165300,Africa Empire 2027
2166310,Bones of Halloween
2167100,To the earth
2167660,Brisk Square
2171350,骑士与工匠 Knights and Craftsmen
2173810,Listen Me
2176540,Daemonum
2179470,Rocket Inc
2179650,SPACE DUDES vs ALIEN DUDES
2185490,奇克八号盲目发射 Blind No.8 Chick Shoot
2186740,Darkness Reborn
2187190,Poly Shoot
2196100,Barren Depths
2196150,Castle Defense Battles
2196320,Space Yugoslav 2D
2196370,Cherry Lady
2197600,Chess Royale
2199440,My Heart Your Soul
2205100,七星探偵倶楽部~黄金虫たちの帰巣~
2208730,Raiders of Ruin
2209710,Skybox
2220040,Eye of D'akess
2221740,VataZombie
2225500,Contract Bridge Solo
2227500,Dig Down
2231490,Squared
2237010,ThanksKilling Day
2238810,《乱步馆》-断崖 -Precipice
